"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.361540682E0,6.463347634E-1,-2.901295424E-1,-4.219330549E-1,-5.657284856E-1,9.946834927E1,1.214592646E1,-6.089020817E1,-8.954684908E1
2.378206672E0,6.667439043E-1,-2.562721670E-1,-4.074625969E-1,-5.689915419E-1,9.636749510E1,1.280383235E1,-5.661373450E1,-8.787068113E1
2.394872661E0,6.807007394E-1,-2.397064120E-1,-3.939798176E-1,-5.691812038E-1,9.420314883E1,1.200108115E1,-5.402149739E1,-8.593697066E1
2.411538651E0,6.876391230E-1,-2.407775521E-1,-3.785408139E-1,-5.708637834E-1,9.311297135E1,9.600049912E0,-5.270263181E1,-8.416126593E1
2.428204640E0,6.900123916E-1,-2.500283420E-1,-3.561619222E-1,-5.783748031E-1,9.273782045E1,6.150177445E0,-5.132768827E1,-8.289738931E1
2.444870630E0,6.882129023E-1,-2.581265867E-1,-3.330395818E-1,-5.906084180E-1,9.302237889E1,3.380975885E0,-4.975667551E1,-8.283906270E1
2.461536620E0,6.802045879E-1,-2.755506635E-1,-3.172521293E-1,-6.006202102E-1,9.428073533E1,5.522111393E-1,-4.969353134E1,-8.314467214E1
2.478202609E0,6.759155578E-1,-2.857526839E-1,-3.191089034E-1,-5.997108221E-1,9.494942212E1,-3.206970500E-1,-5.072525326E1,-8.301051048E1
2.494868599E0,6.767640532E-1,-2.875708938E-1,-3.267254531E-1,-5.937540531E-1,9.481742132E1,-1.149557245E-1,-5.160289594E1,-8.246814802E1
2.511534588E0,6.777570367E-1,-2.875418365E-1,-3.289699852E-1,-5.913914442E-1,9.466276472E1,-6.181306495E-2,-5.181539329E1,-8.218401948E1
2.528200578E0,6.794365160E-1,-2.858839333E-1,-3.267671764E-1,-5.914893150E-1,9.440074781E1,-1.767077294E-1,-5.146517927E1,-8.199779561E1
2.567087817E0,6.683946745E-1,-2.884630263E-1,-3.435895443E-1,-5.932822824E-1,9.611342880E1,2.116148697E0,-5.328190352E1,-8.424764566E1
2.583753755E0,6.628513100E-1,-2.916351557E-1,-3.531548083E-1,-5.923333168E-1,9.696461170E1,3.130761937E0,-5.445593714E1,-8.518006997E1
2.600419692E0,6.550947090E-1,-2.981203496E-1,-3.663655221E-1,-5.897045732E-1,9.814633664E1,4.285617944E0,-5.626490359E1,-8.627814719E1
2.617085630E0,6.436328946E-1,-3.083294034E-1,-3.836718202E-1,-5.860593915E-1,9.987349634E1,5.849367942E0,-5.879137766E1,-8.793612696E1
2.633751567E0,6.293910901E-1,-3.200240433E-1,-4.006881416E-1,-5.838668346E-1,1.019895749E2,7.813919500E0,-6.141184789E1,-9.034759322E1
2.650417505E0,6.164165467E-1,-3.294992745E-1,-4.139010906E-1,-5.832210183E-1,1.038901573E2,9.867309506E0,-6.345873415E1,-9.294040124E1
2.667083442E0,6.043503998E-1,-3.361687660E-1,-4.261813462E-1,-5.831986070E-1,1.056357768E2,1.246207758E1,-6.512560023E1,-9.593624004E1
2.683749380E0,5.947847753E-1,-3.395347297E-1,-4.373505712E-1,-5.828136206E-1,1.070054185E2,1.530672635E1,-6.635240570E1,-9.887666187E1
2.700415317E0,5.878531172E-1,-3.400755525E-1,-4.476872087E-1,-5.816816092E-1,1.079903871E2,1.820718279E1,-6.721728737E1,-1.015531446E2
2.717081255E0,5.829389429E-1,-3.401399255E-1,-4.575020671E-1,-5.789463520E-1,1.086849623E2,2.083242164E1,-6.800814235E1,-1.037447479E2
2.733747192E0,5.772963609E-1,-3.418193161E-1,-4.689172506E-1,-5.744606853E-1,1.094787862E2,2.380884405E1,-6.908835685E1,-1.062329743E2
2.750413130E0,5.690278115E-1,-3.487478793E-1,-4.826588035E-1,-5.671179295E-1,1.106350802E2,2.736925659E1,-7.088354805E1,-1.094714916E2
2.767079067E0,5.586148804E-1,-3.602419496E-1,-4.976504147E-1,-5.572425127E-1,1.120798770E2,3.182665205E1,-7.323067698E1,-1.137825820E2
2.783745005E0,5.464736830E-1,-3.740804195E-1,-5.127913356E-1,-5.463290215E-1,1.137491448E2,3.794790355E1,-7.574185759E1,-1.199235235E2
2.800410942E0,5.322338831E-1,-3.887032866E-1,-5.279181600E-1,-5.356671214E-1,1.156869721E2,4.723203677E1,-7.806504606E1,-1.294038474E2
2.817076880E0,5.166387755E-1,-4.027836323E-1,-5.420250297E-1,-5.263635516E-1,1.177858879E2,6.033628607E1,-7.976380447E1,-1.428805656E2
2.833742817E0,4.988392227E-1,-4.165111780E-1,-5.559504628E-1,-5.182633996E-1,1.201535335E2,7.775655106E1,-8.053449561E1,-1.608524898E2
2.850408755E0,4.779505183E-1,-4.312929213E-1,-5.708484054E-1,-5.095898509E-1,1.228967350E2,9.797943725E1,-8.014349982E1,1.782296842E2
2.867074692E0,4.531857956E-1,-4.487445354E-1,-5.842000246E-1,-5.019574761E-1,1.261034685E2,1.153915086E2,-7.852271137E1,1.596017040E2
2.883740630E0,4.218999342E-1,-4.709698260E-1,-5.936173201E-1,-4.978015125E-1,1.300908070E2,1.274685913E2,-7.588147537E1,1.452304600E2
2.900406567E0,3.846488495E-1,-4.947461188E-1,-5.988518000E-1,-4.986462295E-1,1.347561157E2,1.336702134E2,-7.257349402E1,1.357564143E2
2.917072505E0,3.453471030E-1,-5.162616968E-1,-5.998375416E-1,-5.043849349E-1,1.395940287E2,1.354736635E2,-6.924326535E1,1.301296911E2
2.933738442E0,3.049133339E-1,-5.361578465E-1,-5.986821055E-1,-5.110208988E-1,1.444941001E2,1.356811574E2,-6.593283637E1,1.258997137E2
2.950404380E0,2.647935936E-1,-5.559536219E-1,-5.954406857E-1,-5.159944892E-1,1.492906231E2,1.356377626E2,-6.275733713E1,1.218560579E2
2.967070317E0,2.285886713E-1,-5.747476220E-1,-5.884363651E-1,-5.207254887E-1,1.535720097E2,1.352540576E2,-6.017992194E1,1.181785184E2
2.983736255E0,1.996084504E-1,-5.895332694E-1,-5.776652098E-1,-5.281192064E-1,1.569718736E2,1.340436694E2,-5.857258431E1,1.155898505E2
3.000402192E0,1.794614532E-1,-6.000369787E-1,-5.647590756E-1,-5.373978019E-1,1.593232149E2,1.324306045E2,-5.795396752E1,1.139626281E2
3.017068130E0,1.687744370E-1,-6.070975661E-1,-5.504754782E-1,-5.476536155E-1,1.605668602E2,1.307689988E2,-5.829559764E1,1.130653697E2
