"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.400277849E1,-6.484549642E-1,1.856112480E1,-5.048855543E-1
8.401944515E1,-5.142175674E0,1.993460464E1,-3.996013701E-1
8.403611182E1,-9.556933403E0,1.882672882E1,4.043870270E-1
8.405277849E1,-8.097311974E0,1.772363663E1,-1.079162955E0
8.406944515E1,-6.917650223E0,1.626880074E1,1.672582984E0
8.408611182E1,-7.640282631E0,1.556052589E1,2.579462767E0
8.410277848E1,-7.039684296E0,1.513460350E1,-7.537391186E-1
8.411944515E1,-5.099104881E0,1.204546928E1,8.135596663E-2
8.413611182E1,-3.677768469E0,7.673782349E0,1.165304661E0
8.415277848E1,-2.045863390E0,6.113661766E0,1.998006940E0
8.416944515E1,-2.036292076E0,9.434899330E0,1.837687731E0
8.418611181E1,-3.000599623E0,9.384650230E0,1.641476393E0
8.420277848E1,-2.636890650E0,9.090332985E0,9.523434043E-1
8.421944515E1,-1.588834286E0,9.619147301E0,3.103491068E0
8.423611181E1,-1.682154298E0,9.305686951E0,1.694118381E0
8.425277848E1,-1.928615093E0,8.688339233E0,5.216353536E-1
8.426944514E1,-2.383251429E0,9.190832138E0,7.561319470E-1
8.428611181E1,-1.919043779E0,1.066720295E1,1.050449133E0
8.430277848E1,-1.488335729E0,1.180379391E1,5.383850932E-1
8.431944514E1,-1.935793519E0,1.193061352E1,-1.220339537E-1
8.433611181E1,-2.395215511E0,1.127737331E1,1.162911773E0
8.435277847E1,-3.998406649E0,1.145922756E1,1.730010748E0
8.436944514E1,-5.819344521E0,1.067916775E1,2.919243574E-1
8.438611181E1,-6.726224422E0,1.179183006E1,1.268195987E0
8.440277847E1,-8.248059273E0,1.173918819E1,1.854437590E0
8.441944514E1,-8.312665939E0,1.089930725E1,1.785045743E0
8.443611180E1,-6.482156754E0,1.044706345E1,4.402793646E-1
8.445277847E1,-5.084748268E0,8.475378036E0,-2.991028428E-1
8.446944514E1,-1.301695466E0,8.343772888E0,8.015955687E-1
8.448611180E1,1.411765367E-1,7.429714203E0,1.363908887E0
8.450277847E1,9.738788009E-1,5.357530117E0,6.628118753E-1
8.451944513E1,1.105484009E0,3.771088600E0,5.359922647E-1
8.453611180E1,4.450650215E-1,3.349951655E-2,5.359922647E-1
8.455277847E1,-1.423729420E0,-1.931007862E0,1.220339537E-1
8.456944513E1,-1.009771109E0,6.747759581E-1,7.106683254E-1
8.458611180E1,-1.667797327E0,1.718046665E0,4.498506486E-1
8.460277846E1,-2.239681959E0,2.883351326E0,2.344966233E-1
8.461944513E1,-2.703889608E0,5.094319344E0,8.757730722E-1
8.463611180E1,-3.244667530E0,7.465606689E0,1.624726534E0
8.465277846E1,-3.498306751E0,1.064806080E1,2.656033039E0
8.466944513E1,-3.388236761E0,1.363669586E1,1.433300734E0
8.468611179E1,-3.460021496E0,1.516570950E1,-1.143769264E0
8.470277846E1,-3.967299938E0,1.452443314E1,-1.452443361E0
8.471944513E1,-4.759324074E0,1.198564816E1,-4.426721931E-1
8.473611179E1,-4.366901398E0,9.975677490E0,1.651047617E-1
8.475277846E1,-3.732803345E0,9.360722542E0,7.369893789E-1
8.476944512E1,-2.895315409E0,1.009053326E1,1.339980721E0
8.478611179E1,-1.569691658E0,1.199282742E1,1.596012712E0
8.480277846E1,-1.581655741E0,1.329212952E1,2.335394859E0
8.481944512E1,-2.605783939E0,1.322273827E1,2.799602509E0
8.483611179E1,-3.792623997E0,1.204546928E1,1.136590719E0
8.485277845E1,-2.481357098E0,1.222014523E1,5.240281820E-1
8.486944512E1,-2.043470621E0,1.088016415E1,9.236295223E-1
8.488611179E1,-2.074577332E0,1.043509960E1,2.512463808E0
8.490277845E1,-3.471985579E0,1.029392338E1,1.701296926E0
8.491944512E1,-4.108476639E0,9.710074425E0,1.574477315E0
8.493611178E1,-4.352544308E0,9.480362892E0,1.665404558E0
8.495277845E1,-3.718446493E0,9.609575272E0,2.397608280E0
8.496944512E1,-2.835494757E0,9.303294182E0,2.620140791E0
8.498611178E1,-2.416750908E0,9.291330338E0,3.771088600E0
8.500277845E1,-2.864208698E0,9.267401695E0,2.246860504E0
8.501944511E1,-1.885544300E0,9.650253296E0,6.556333899E-1
8.503611178E1,-2.100898266E0,1.007617569E1,1.162911773E0
8.505277845E1,-1.555334687E0,1.086341476E1,1.150947690E0
8.506944511E1,-2.270788670E0,1.091127110E1,5.527420044E-1
8.508611178E1,-2.880958557E0,1.157169056E1,9.164510965E-1
8.510277844E1,-3.704089403E0,1.220818138E1,7.034898400E-1
8.511944511E1,-5.343173027E0,1.350748348E1,-3.780659735E-1
8.513611178E1,-7.709674358E0,1.350748348E1,-3.469592929E-1
8.515277844E1,-8.288737297E0,1.263410378E1,1.179661512E0
8.516944511E1,-7.874779224E0,1.067438221E1,1.801795483E0
8.518611177E1,-6.070590973E0,9.233902931E0,1.033699393E0
8.520277844E1,-4.197010994E0,8.336593628E0,4.785645306E-1
8.521944511E1,-2.189432621E0,9.255437851E0,9.978070259E-1
8.523611177E1,-9.667003751E-1,8.042277336E0,-4.474578202E-1
8.525277844E1,-8.662018180E-1,6.896114826E0,2.512463629E-1
8.526944510E1,-2.057827413E-1,5.680561066E0,0.000000000E0
8.528611177E1,4.067798331E-2,3.215953588E0,1.342373490E0
8.530277844E1,-8.039883971E-1,8.973084688E-1,1.579262972E0
8.531944510E1,-1.808973908E0,-9.643075466E-1,4.737788737E-1
8.533611177E1,-2.593819857E0,1.402194023E0,5.862415433E-1
8.535277843E1,-2.282752752E0,3.634697676E0,7.561319470E-1
8.536944510E1,-2.639283419E0,4.125226021E0,6.340979934E-1
8.538611177E1,-1.866401672E0,5.242674351E0,1.282552958E0
8.540277843E1,-1.148554921E0,6.685546398E0,1.497906923E0
8.541944510E1,-1.531406522E0,8.142775536E0,9.499505758E-1
8.543611176E1,-1.749153376E0,9.573683739E0,1.797009826E0
8.545277843E1,-1.928615093E0,1.098544884E1,-8.853443712E-2
8.546944510E1,-2.455035925E0,1.268196011E1,-4.474578202E-1
8.548611176E1,-5.123033047E0,1.179661560E1,8.853443861E-1
8.550277843E1,-5.048855782E0,1.107159042E1,8.853443712E-2
8.551944509E1,-4.460221291E0,1.170568848E1,-1.430907965E0
8.553611176E1,-4.374079704E0,1.268913841E1,8.901300430E-1
8.555277843E1,-3.684946775E0,1.338066387E1,2.859423161E0
8.556944509E1,-3.634697676E0,1.377787304E1,2.313859463E0
8.558611176E1,-3.457628727E0,1.354576874E1,8.709874153E-1
8.560277842E1,-2.959921598E0,1.345244884E1,1.335195065E0
8.561944509E1,-1.478764415E0,1.355773354E1,2.993421078E0
8.563611176E1,-5.335994363E-1,1.417747402E1,3.237488985E0
8.565277842E1,-3.919443607E0,1.205504036E1,1.694118381E0
8.566944509E1,-5.063212872E0,9.418149948E0,8.135596663E-2
8.568611175E1,-4.311866283E0,7.501499176E0,3.732803464E-1
8.570277842E1,-4.764110088E0,5.905486107E0,2.304288149E0
8.571944509E1,-4.993820667E0,5.809773445E0,5.431707382E0
8.573611175E1,-3.294916868E0,8.408378601E0,2.380858421E0
8.575277842E1,-1.134197950E0,1.157647610E1,2.991028428E-1
