"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.658807254E0,6.152050344E-1,5.168088675E-1,3.603447676E-1,-4.739018977E-1,1.040663601E2,5.499818323E1,6.894009625E1,-3.588536395E1
2.675473244E0,6.166877620E-1,5.135981441E-1,3.574873507E-1,-4.776148498E-1,1.038506826E2,5.340021007E1,6.867306354E1,-3.759315529E1
2.692139233E0,6.166370154E-1,5.134044886E-1,3.558371663E-1,-4.791184962E-1,1.038580694E2,5.307399375E1,6.856110549E1,-3.809513968E1
2.708805223E0,6.173012843E-1,5.133485794E-1,3.534553051E-1,-4.800851047E-1,1.037613467E2,5.284692527E1,6.832267705E1,-3.847600572E1
2.725471212E0,6.201914859E-1,5.131921172E-1,3.493954539E-1,-4.794988930E-1,1.033397617E2,5.276703210E1,6.774905757E1,-3.858211883E1
2.742137202E0,6.254713152E-1,5.143435001E-1,3.455425203E-1,-4.741695523E-1,1.025664218E2,5.367868736E1,6.692987209E1,-3.734462560E1
2.758803192E0,6.309936412E-1,5.167253017E-1,3.428628445E-1,-4.661405981E-1,1.017530606E2,5.522127104E1,6.612375247E1,-3.530634367E1
2.775469181E0,6.356792256E-1,5.183896422E-1,3.392112255E-1,-4.605647027E-1,1.010592408E2,5.615592787E1,6.533496332E1,-3.408241617E1
2.792135171E0,6.375566869E-1,5.200066566E-1,3.360048234E-1,-4.584924281E-1,1.007802637E2,5.667462602E1,6.486135437E1,-3.361522315E1
2.808801160E0,6.365453013E-1,5.224997401E-1,3.351444602E-1,-4.576923549E-1,1.009306179E2,5.738458446E1,6.481756445E1,-3.311456947E1
2.825467150E0,6.329394362E-1,5.289184451E-1,3.395674527E-1,-4.520253241E-1,1.014653534E2,5.993437692E1,6.523319315E1,-3.056053666E1
2.842133139E0,6.260654298E-1,5.408632755E-1,3.508084714E-1,-4.386825860E-1,1.024791401E2,6.544414778E1,6.603485402E1,-2.471235438E1
2.858799129E0,6.158804342E-1,5.547646880E-1,3.674644232E-1,-4.217787683E-1,1.039681558E2,7.296289328E1,6.701457677E1,-1.663944119E1
2.875465119E0,6.024631128E-1,5.662220120E-1,3.899470270E-1,-4.054283500E-1,1.059069809E2,8.150624981E1,6.827672765E1,-7.282582457E0
2.892131108E0,5.870991175E-1,5.712486506E-1,4.158437848E-1,-3.950487971E-1,1.080971562E2,8.974921234E1,6.998871241E1,1.881392470E0
2.908797098E0,5.734225101E-1,5.699000955E-1,4.374963343E-1,-3.936971724E-1,1.100215314E2,9.597984774E1,7.189278549E1,8.725642183E0
2.925463087E0,5.595996435E-1,5.646896362E-1,4.571986496E-1,-3.986768723E-1,1.119437701E2,1.017869684E2,7.414450060E1,1.487830004E1
2.942129077E0,5.470858386E-1,5.577470064E-1,4.743720293E-1,-4.056926668E-1,1.136653638E2,1.077681680E2,7.631042088E1,2.111670503E1
2.958795067E0,5.368669237E-1,5.489799380E-1,4.900265932E-1,-4.126364887E-1,1.150587792E2,1.141598332E2,7.829820222E1,2.792019575E1
2.975461056E0,5.256239106E-1,5.404857397E-1,5.025815368E-1,-4.230915606E-1,1.165794918E2,1.220365948E2,8.029462405E1,3.575348746E1
2.992127046E0,5.194062716E-1,5.328339934E-1,5.082228184E-1,-4.336065352E-1,1.174151324E2,1.268120170E2,8.190210836E1,4.032718672E1
3.008793035E0,5.169772878E-1,5.296154022E-1,5.076586008E-1,-4.410496056E-1,1.177405771E2,1.274441562E2,8.277925713E1,4.054298694E1
3.025459025E0,5.173707470E-1,5.309997797E-1,5.017012358E-1,-4.457158446E-1,1.176878978E2,1.233731656E2,8.296949062E1,3.580476338E1
3.042125014E0,5.272769256E-1,5.301107764E-1,4.883856773E-1,-4.499344826E-1,1.163566968E2,1.081008431E2,8.277468693E1,2.014573841E1
3.058791004E0,5.476651871E-1,5.258721709E-1,4.658744335E-1,-4.544032514E-1,1.135860359E2,8.519120780E1,8.119029960E1,-2.897159146E0
