"Time (s)","Pressure (hPa)"
3.317710655E2,1.001040222E3
3.318107991E2,1.000969666E3
3.318513340E2,1.000869568E3
3.318908005E2,1.000806824E3
3.319307863E2,1.000704773E3
3.319708174E2,1.000618835E3
3.320108065E2,1.000584900E3
3.320512990E2,1.000712097E3
3.320912098E2,1.000704041E3
3.321307846E2,1.000693787E3
3.321707856E2,1.000705750E3
3.322107993E2,1.000649597E3
3.322508128E2,1.000698181E3
3.322907849E2,1.000709167E3
3.323307849E2,1.000642273E3
3.323707859E2,1.000761902E3
3.324113353E2,1.001132996E3
3.324507981E2,1.001207458E3
3.324907856E2,1.001233826E3
3.325307844E2,1.001101501E3
3.325707845E2,1.000879333E3
3.326107870E2,1.000754578E3
3.326507981E2,1.000635925E3
3.326907842E2,1.000621765E3
3.327307850E2,1.000575867E3
3.327707859E2,1.000789001E3
3.328107911E2,1.000726013E3
3.328508985E2,1.000695740E3
3.328908010E2,1.000710388E3
3.329307989E2,1.000641296E3
3.329707844E2,1.000677917E3
3.330107856E2,1.000681091E3
3.330507977E2,1.000611755E3
3.330908003E2,1.001153992E3
3.331312472E2,1.001214539E3
3.331707855E2,1.001189392E3
3.332107854E2,1.001070984E3
3.332507936E2,1.000894958E3
3.332908097E2,1.000828796E3
3.333307991E2,1.000722839E3
3.333707848E2,1.000656921E3
3.334108001E2,1.000590759E3
3.334507990E2,1.000669373E3
3.334908210E2,1.000619324E3
3.335307996E2,1.000622742E3
3.335707993E2,1.000716492E3
3.336107996E2,1.000699890E3
3.336507858E2,1.000763611E3
3.336907843E2,1.000799988E3
3.337308080E2,1.000762634E3
3.337707993E2,1.000700623E3
3.338112254E2,1.001056824E3
3.338508012E2,1.001201355E3
3.338907850E2,1.001172546E3
3.339316731E2,1.001121033E3
3.339707987E2,1.000978699E3
3.340107880E2,1.000796814E3
3.340507854E2,1.000711365E3
3.340907851E2,1.000603943E3
3.341307847E2,1.000533630E3
3.341708029E2,1.000542908E3
3.342108123E2,1.000739685E3
3.342512795E2,1.000673279E3
3.342907987E2,1.000662537E3
3.343307854E2,1.000705750E3
3.343712954E2,1.000649597E3
3.344108044E2,1.000682556E3
3.344507968E2,1.000711609E3
3.344907911E2,1.000642517E3
3.345307846E2,1.000659851E3
3.345707986E2,1.001112488E3
3.346107985E2,1.001184509E3
3.346508148E2,1.001177917E3
3.346908010E2,1.001073425E3
3.347307980E2,1.000900574E3
3.347707860E2,1.000806335E3
3.348111467E2,1.000735046E3
3.348507990E2,1.000652039E3
3.348912200E2,1.000595886E3
3.349307978E2,1.000772644E3
3.349707988E2,1.000802673E3
3.350108047E2,1.000772888E3
3.350508096E2,1.000801697E3
3.350907991E2,1.000769714E3
3.351307876E2,1.000715515E3
3.351707846E2,1.000753113E3
3.352107852E2,1.000701111E3
3.352509253E2,1.000660583E3
3.352907990E2,1.000968201E3
3.353312302E2,1.001065369E3
3.353708073E2,1.001133240E3
3.354107991E2,1.001155701E3
3.354516580E2,1.001010437E3
3.354907993E2,1.000837341E3
3.355307987E2,1.000734070E3
3.355707984E2,1.000628113E3
3.356107897E2,1.000569275E3
