"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.842826696E0,-2.443459071E-2,5.345067009E-3,2.214384731E-3
3.859493362E0,-1.588248461E-2,5.345067009E-3,-4.505127668E-3
3.876160028E0,-1.527161989E-2,-3.207040019E-3,3.436114406E-3
3.892826694E0,-3.176496923E-2,2.901607659E-3,6.490438245E-3
3.909493360E0,-4.276053607E-2,2.550360374E-2,-6.948587019E-3
3.926160026E0,-3.420842811E-2,2.733619884E-2,-7.559451740E-3
3.942826692E0,-6.108647678E-3,4.123337101E-3,-2.061668551E-3
3.959493358E0,9.773836471E-3,-2.031125315E-2,8.323032409E-3
3.976160024E0,-3.054323839E-3,-2.519817278E-2,1.748600416E-2
3.992826690E0,-2.138026804E-2,-1.359174121E-2,2.970330045E-2
4.009493356E0,-4.337139800E-2,1.572976820E-2,2.664897591E-2
4.026160022E0,-5.864302069E-2,4.566214234E-2,2.115119249E-2
4.042826688E0,-3.787361458E-2,4.199695215E-2,1.382081583E-2
4.059493354E0,-1.038470119E-2,1.145371422E-2,7.712167688E-3
4.076160020E0,6.108647678E-3,1.679878100E-3,9.544761851E-3
4.092826686E0,1.343902480E-2,-9.315688163E-3,5.268708803E-3
4.109493352E0,1.466075517E-2,-2.703076601E-2,5.879573524E-3
4.126160018E0,1.160643063E-2,-2.031125315E-2,2.054032870E-2
4.142826684E0,2.443459118E-3,2.901607659E-3,3.031416424E-2
4.159493350E0,-1.160643063E-2,2.000582218E-2,3.764454275E-2
4.176160016E0,-2.260199748E-2,1.634063199E-2,4.619665071E-2
4.192826682E0,-1.893680729E-2,2.061668597E-2,4.802924395E-2
4.209493348E0,-1.221729536E-2,-1.298087649E-2,5.108356848E-2
4.226160014E0,-2.015853859E-2,-3.497200832E-2,5.047270283E-2
4.242826680E0,-2.687804960E-2,-3.069595434E-2,4.375318810E-2
4.259493346E0,-3.359756246E-2,-2.153298259E-2,4.008800164E-2
4.276160012E0,-3.115410358E-2,3.512472380E-3,3.703367710E-2
4.292826678E0,-1.404988952E-2,1.450803876E-2,3.764454275E-2
4.309493344E0,-3.054323839E-3,7.177661173E-3,3.703367710E-2
4.326160010E0,-1.221729536E-2,9.621120058E-3,3.092502989E-2
4.342826676E0,-1.282816008E-2,4.734201822E-3,2.237292193E-2
4.359493342E0,0.000000000E0,-1.847865991E-2,3.153589368E-2
4.376160008E0,2.443459118E-3,-3.252854943E-2,4.008800164E-2
4.392826674E0,0.000000000E0,-1.664606482E-2,4.375318810E-2
4.409493340E0,-4.276053514E-3,1.069013379E-3,4.192059487E-2
4.426160006E0,-7.941242307E-3,3.039052337E-2,3.703367710E-2
4.442826672E0,-1.527161989E-2,6.093376130E-2,2.664897591E-2
4.459493338E0,-2.260199748E-2,8.720094711E-2,1.565340906E-2
4.476160004E0,-2.076940238E-2,7.559451461E-2,1.504254527E-2
4.492826670E0,-1.893680729E-2,3.894263133E-2,1.931859925E-2
4.509493336E0,-2.626718581E-2,3.512472380E-3,2.115119249E-2
4.526160002E0,-2.809977904E-2,-3.069595434E-2,2.298378758E-2
4.542826668E0,-1.893680729E-2,-5.635227636E-2,2.176205814E-2
4.559493334E0,-1.221729536E-2,-4.596757516E-2,2.176205814E-2
4.576160000E0,-2.504545636E-2,-2.596175298E-3,2.909243479E-2
4.592826666E0,-3.543015569E-2,2.611446939E-2,2.787070535E-2
4.609493332E0,-5.070177838E-2,2.611446939E-2,2.787070535E-2
4.626159998E0,-4.092793912E-2,-1.175914705E-2,2.176205814E-2
4.642826664E0,-2.565632015E-2,-5.513054505E-2,2.176205814E-2
4.659493330E0,-3.359756246E-2,-6.612611562E-2,2.481638081E-2
4.676159996E0,-4.459312931E-2,-3.436114267E-2,2.481638081E-2
4.692826662E0,-4.764745384E-2,2.977965772E-2,1.565340906E-2
4.709493328E0,-4.092793912E-2,5.604684353E-2,-5.115992390E-3
4.726159994E0,-3.115410358E-2,3.222311661E-2,-2.038761228E-2
4.742826660E0,-4.886918236E-3,-1.664606482E-2,-2.038761228E-2
4.759493326E0,1.221729536E-2,-3.191768378E-2,-1.305723470E-2
4.776159992E0,6.719512399E-3,-2.031125315E-2,-8.170315996E-3
4.792826658E0,-6.108647678E-3,6.566796452E-3,-5.115992390E-3
4.809493324E0,2.443459118E-3,1.389717404E-2,-1.450803829E-3
4.826159990E0,1.404988952E-2,-1.374445739E-3,-6.337722298E-3
4.842826656E0,2.138026804E-2,-8.093958721E-3,-1.611155830E-2
4.859493322E0,2.321286127E-2,-1.603520103E-2,-2.588539571E-2
4.876159988E0,2.748891525E-2,-1.908952370E-2,-2.832885459E-2
4.892826654E0,2.626718581E-2,-9.315688163E-3,-2.893971838E-2
4.909493320E0,2.015853859E-2,1.695149764E-2,-3.627009690E-2
4.926159986E0,2.504545636E-2,2.244928107E-2,-5.154171586E-2
4.942826652E0,4.092793912E-2,1.084284950E-2,-6.986765563E-2
4.959493318E0,5.131264031E-2,1.069013379E-3,-7.536543906E-2
4.976159984E0,4.337139800E-2,-1.786779426E-2,-7.170025259E-2
4.992826650E0,6.108647794E-4,-7.483093534E-3,-5.520690605E-2
5.009493316E0,-8.368847519E-2,3.688096106E-1,-8.086322248E-2
5.026159982E0,-1.985310465E-1,8.972076178E-1,-1.205694377E-1
5.042826648E0,-2.571740746E-1,1.225242019E0,-1.236237586E-1
5.059493314E0,-1.802051067E-1,1.120784163E0,-1.427896414E-2
5.076159980E0,-7.024945319E-2,8.013018966E-1,1.463784724E-1
5.092826646E0,-4.886918236E-3,4.641045034E-1,3.192532063E-1
5.109493312E0,-9.957095981E-2,1.812741160E-1,4.872410297E-1
5.126159978E0,-3.750709891E-1,1.831067204E-1,7.205913663E-1
