"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.474630076E0,1.066188097E0,-2.140317440E0,9.083559513E-1
3.491296742E0,1.066188097E0,-2.140317440E0,9.083559513E-1
3.507963408E0,1.066188097E0,-2.140317440E0,9.083559513E-1
3.524630074E0,4.756345749E-1,-1.039768219E0,3.565923125E-2
3.541296740E0,7.321978211E-1,-1.474245787E0,2.977965772E-2
3.557963406E0,7.645736337E-1,-2.093280792E0,1.979201883E-1
3.574630072E0,7.645736337E-1,-2.093280792E0,1.979201883E-1
3.591296738E0,7.645736337E-1,-2.093280792E0,1.979201883E-1
3.607963404E0,7.645736337E-1,-2.093280792E0,1.979201883E-1
3.624630070E0,1.894673467E0,-3.522933483E0,-4.825831652E-1
3.641296736E0,1.894673467E0,-3.522933483E0,-4.825831652E-1
3.657963402E0,2.166966438E0,-3.616166830E0,-6.438514590E-1
3.674630068E0,2.166966438E0,-3.616166830E0,-6.438514590E-1
3.691296734E0,2.166966438E0,-3.616166830E0,-6.438514590E-1
3.707963400E0,2.152916670E0,-1.869704366E0,-9.024000168E-1
3.724630066E0,2.152916670E0,-1.869704366E0,-9.024000168E-1
3.741296732E0,1.826867461E0,-6.825650334E-1,-8.586468101E-1
3.757963398E0,1.826867461E0,-6.825650334E-1,-8.586468101E-1
3.774630064E0,1.373453140E0,1.013577342E0,-6.249146461E-1
3.791296730E0,1.373453140E0,1.013577342E0,-6.249146461E-1
3.807963396E0,1.373453140E0,1.013577342E0,-6.249146461E-1
3.824630062E0,1.373453140E0,1.013577342E0,-6.249146461E-1
3.841296728E0,1.373453140E0,1.013577342E0,-6.249146461E-1
3.857963394E0,1.928500056E0,-7.768672705E-1,1.040760875E0
3.874630060E0,1.747302294E0,-6.046034098E-1,1.060919404E0
3.891296726E0,1.747302294E0,-6.046034098E-1,1.060919404E0
3.907963392E0,1.747302294E0,-6.046034098E-1,1.060919404E0
3.924630058E0,1.747302294E0,-6.046034098E-1,1.060919404E0
3.941296724E0,-5.009090900E-1,-8.345176578E-1,-5.314523578E-1
3.957963390E0,-2.826013267E-1,-5.162571073E-1,-8.659771681E-1
3.974630056E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
3.991296722E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
4.007963388E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
4.024630054E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
4.041296720E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
4.057963386E0,-6.268999726E-2,-1.473711245E-2,-1.255708933E0
4.074630052E0,-1.508836001E-1,-2.290208340E0,-2.159178019E0
4.091296718E0,-1.508836001E-1,-2.290208340E0,-2.159178019E0
4.107963384E0,-1.508836001E-1,-2.290208340E0,-2.159178019E0
4.124630050E0,-1.508836001E-1,-2.290208340E0,-2.159178019E0
4.141296716E0,1.049465656E0,-1.072525859E0,2.895499170E-1
4.157963382E0,1.707596183E0,-5.182424188E-1,7.648026943E-1
4.174630048E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.191296714E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.207963380E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.224630046E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.241296712E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.257963378E0,1.998138666E0,6.204095483E-1,8.240565658E-1
4.274630044E0,8.549816012E-1,1.960112303E-1,-2.901607752E-1
4.291296710E0,8.549816012E-1,1.960112303E-1,-2.901607752E-1
4.307963376E0,8.549816012E-1,1.960112303E-1,-2.901607752E-1
4.324630042E0,3.826304376E-1,-6.308705807E-1,-4.735729098E-1
4.341296708E0,3.533089161E-1,9.262236953E-1,-1.473711282E-1
4.357963374E0,1.017929792E0,2.500422239E0,-6.794343591E-1
4.374630040E0,1.017929792E0,2.500422239E0,-6.794343591E-1
4.391296706E0,3.960694373E-1,2.423453331E0,-1.625053048E0
4.407963372E0,-9.934188426E-2,4.232834816E0,-2.838841438E0
4.424630038E0,-1.123151302E0,3.767966747E0,-2.769202709E0
4.441296704E0,-2.264857531E0,2.041051865E0,-2.538906813E0
4.457963370E0,-2.427958488E0,1.100320220E0,-2.631758213E0
4.474630036E0,-2.173227787E0,-1.001665473E0,-2.628703833E0
4.491296702E0,-2.106643438E0,-2.236223221E0,-2.155283689E0
4.507963368E0,-1.916664600E0,-2.709032536E0,-1.635437727E0
4.524630034E0,-1.396818638E0,-3.006523609E0,-9.824233055E-1
4.541296700E0,-1.121700481E-1,-2.712697744E0,2.124282271E-1
4.557963366E0,-1.121700481E-1,-2.712697744E0,2.124282271E-1
4.574630032E0,7.381537557E-1,-2.033416033E0,-5.102248192E-1
4.591296698E0,9.232457280E-1,-1.969886184E0,-7.197514176E-1
4.607963364E0,1.185306787E0,-2.545931578E0,-4.925097227E-1
4.624630030E0,1.185306787E0,-2.545931578E0,-4.925097227E-1
4.641296696E0,-3.174206018E-1,-4.654026031E0,-1.547015011E-1
4.657963362E0,-5.544361472E-1,-4.310109138E0,-5.835285783E-1
4.674630028E0,-5.709294677E-1,-2.708421707E0,-1.135750294E0
4.691296694E0,-8.219949007E-1,-2.092059135E0,-7.619010806E-1
4.707963360E0,-8.219949007E-1,-2.092059135E0,-7.619010806E-1
4.724630026E0,-8.922443390E-1,-2.096946001E0,-3.410152495E-1
4.741296692E0,-1.026023746E0,-2.286314249E0,-4.912880063E-1
4.757963358E0,-1.165911794E0,-2.612515926E0,-6.794343591E-1
4.774630024E0,-1.165911794E0,-2.612515926E0,-6.794343591E-1
4.791296690E0,-1.211726665E0,-2.525773048E0,-1.008079648E0
4.807963356E0,-1.124372959E0,-2.877020359E0,-6.653844714E-1
4.824630022E0,-9.814306498E-1,-3.470170021E0,2.290742937E-3
4.841296688E0,-9.814306498E-1,-3.470170021E0,2.290742937E-3
4.857963354E0,-6.234638691E-1,-2.892902851E0,1.101236463E0
4.874630020E0,-6.234638691E-1,-2.892902851E0,1.101236463E0
4.891296686E0,-1.836412251E-1,-6.455313563E-1,1.899025917E0
