"Time (s)","Pressure (hPa)"
1.771147558E1,1.002624451E3
1.775148157E1,1.002452332E3
1.779151016E1,1.002339050E3
1.783147917E1,1.002257019E3
1.787147922E1,1.002210876E3
1.791147917E1,1.002189636E3
1.795187245E1,1.002192322E3
1.799159157E1,1.002194763E3
1.803147917E1,1.002205750E3
1.807147902E1,1.002219666E3
1.811147948E1,1.002242615E3
1.815147917E1,1.002332458E3
1.819149308E1,1.002454529E3
1.823148099E1,1.002501160E3
1.827147922E1,1.002508484E3
1.831147896E1,1.002459412E3
1.835147943E1,1.002461121E3
1.839164573E1,1.002499451E3
1.843148693E1,1.002462097E3
1.847147198E1,1.002431335E3
1.851147230E1,1.002422546E3
1.855147334E1,1.002419128E3
1.859147829E1,1.002429626E3
1.863148740E1,1.002518738E3
1.867149027E1,1.002563416E3
1.871150797E1,1.002518494E3
1.875147688E1,1.002441589E3
1.879147506E1,1.002391052E3
1.883161198E1,1.002360046E3
1.887148058E1,1.002350037E3
1.891252928E1,1.002341248E3
1.895147224E1,1.002354187E3
1.899147652E1,1.002372986E3
1.903246844E1,1.002387878E3
1.907148573E1,1.002432800E3
1.911150016E1,1.002527527E3
1.915147657E1,1.002573181E3
1.919147198E1,1.002651794E3
1.923147459E1,1.002613464E3
1.927148063E1,1.002591003E3
1.931147693E1,1.002564636E3
1.935149912E1,1.002595154E3
1.939147198E1,1.002568298E3
1.943147407E1,1.002540955E3
1.947164178E1,1.002491394E3
1.951148933E1,1.002465271E3
1.955193500E1,1.002445496E3
1.959155771E1,1.002539490E3
1.963149011E1,1.002568298E3
1.967147344E1,1.002523132E3
1.971148678E1,1.002449402E3
1.975148026E1,1.002410339E3
1.979150756E1,1.002385925E3
1.983149110E1,1.002376160E3
1.987148021E1,1.002376404E3
1.991150266E1,1.002382751E3
1.995148865E1,1.002390564E3
1.999148849E1,1.002397156E3
2.003147912E1,1.002400574E3
2.007147891E1,1.002446472E3
2.011148126E1,1.002538513E3
2.015151063E1,1.002608093E3
2.019148459E1,1.002613464E3
2.023148256E1,1.002568787E3
2.027148105E1,1.002573181E3
2.031147902E1,1.002557556E3
2.035148084E1,1.002605408E3
2.039148339E1,1.002590759E3
2.043197537E1,1.002556580E3
2.047147917E1,1.002512146E3
2.051147896E1,1.002502136E3
2.055147974E1,1.002494812E3
2.059150902E1,1.002481628E3
2.063148516E1,1.002538513E3
2.067150980E1,1.002562683E3
2.071148110E1,1.002515320E3
2.075147928E1,1.002478210E3
2.079229209E1,1.002430359E3
2.083149360E1,1.002393005E3
2.087149969E1,1.002381287E3
2.091147948E1,1.002365906E3
2.095147917E1,1.002375183E3
2.099148329E1,1.002377625E3
2.103150376E1,1.002380310E3
2.107148943E1,1.002396179E3
2.111148146E1,1.002412537E3
2.115150948E1,1.002467712E3
2.119148021E1,1.002484802E3
2.123219329E1,1.002481873E3
2.127148433E1,1.002473083E3
2.131291709E1,1.002465271E3
2.135148146E1,1.002460388E3
2.139147922E1,1.002514099E3
2.143146735E1,1.002583923E3
2.147149662E1,1.002576355E3
2.151148099E1,1.002539734E3
2.155148126E1,1.002512390E3
2.159149693E1,1.002500671E3
2.163147974E1,1.002518982E3
2.167148938E1,1.002528992E3
2.171148433E1,1.002592224E3
2.175173948E1,1.002626160E3
2.179148615E1,1.002620056E3
2.183147943E1,1.002541931E3
2.187148735E1,1.002492126E3
2.191148980E1,1.002448914E3
2.195150610E1,1.002416199E3
2.199147891E1,1.002400330E3
2.203148131E1,1.002396912E3
2.207148026E1,1.002393494E3
2.211151719E1,1.002403748E3
2.215149308E1,1.002406433E3
2.219147891E1,1.002408875E3
2.223148902E1,1.002415466E3
2.227147948E1,1.002439148E3
2.231231506E1,1.002506531E3
2.235148907E1,1.002549500E3
2.239301266E1,1.002567566E3
2.243147917E1,1.002537292E3
2.247147896E1,1.002539734E3
2.251148667E1,1.002536560E3
2.255157131E1,1.002608826E3
2.259148610E1,1.002599792E3
2.263148115E1,1.002552917E3
2.267149605E1,1.002526794E3
2.271147891E1,1.002523132E3
2.275219667E1,1.002539246E3
2.279149193E1,1.002556580E3
2.283147948E1,1.002658386E3
2.287147943E1,1.002655945E3
2.291147922E1,1.002656677E3
2.295147636E1,1.002563171E3
2.299148537E1,1.002489441E3
2.303147917E1,1.002434998E3
2.307147912E1,1.002410095E3
2.311148464E1,1.002391296E3
2.315148000E1,1.002384705E3
2.319191136E1,1.002388123E3
2.323148943E1,1.002389099E3
2.327147917E1,1.002397400E3
2.331146719E1,1.002411072E3
2.335147922E1,1.002418152E3
2.339148042E1,1.002430847E3
2.343148323E1,1.002466492E3
2.347148693E1,1.002481628E3
2.351147943E1,1.002474792E3
2.355146714E1,1.002505066E3
2.359148099E1,1.002539246E3
2.363175360E1,1.002590759E3
2.367148485E1,1.002575623E3
2.371150928E1,1.002574402E3
2.375149792E1,1.002561951E3
2.379147922E1,1.002575378E3
2.383148464E1,1.002563416E3
2.387149193E1,1.002560730E3
2.391148537E1,1.002581726E3
2.395150865E1,1.002602478E3
2.399147917E1,1.002571228E3
2.403150943E1,1.002510925E3
2.407160172E1,1.002447693E3
2.411148329E1,1.002404480E3
2.415148709E1,1.002393494E3
2.419147902E1,1.002383484E3
2.423147948E1,1.002383728E3
2.427238042E1,1.002389832E3
2.431148714E1,1.002395203E3
2.435151605E1,1.002409363E3
2.439151099E1,1.002421082E3
2.443147896E1,1.002478210E3
2.447147969E1,1.002527527E3
2.451149214E1,1.002524597E3
2.455149693E1,1.002501160E3
2.459148756E1,1.002464294E3
2.463151266E1,1.002548767E3
2.467147943E1,1.002577820E3
2.471217219E1,1.002597595E3
2.475148704E1,1.002601013E3
2.479150193E1,1.002565125E3
2.483147922E1,1.002538757E3
2.487147922E1,1.002578308E3
2.491147943E1,1.002610046E3
2.495149214E1,1.002605652E3
2.499148126E1,1.002656189E3
2.503149323E1,1.002661560E3
2.507149558E1,1.002584167E3
2.511147990E1,1.002492126E3
2.515201547E1,1.002424011E3
2.519148339E1,1.002393738E3
2.523164553E1,1.002370544E3
2.527146724E1,1.002363708E3
2.531147912E1,1.002370056E3
2.535148407E1,1.002370300E3
2.539148412E1,1.002373474E3
2.543148563E1,1.002383728E3
2.547150553E1,1.002386902E3
2.551147917E1,1.002401794E3
2.555147995E1,1.002406677E3
2.559162745E1,1.002424500E3
2.563148318E1,1.002468445E3
2.567274313E1,1.002497986E3
2.571147912E1,1.002487000E3
2.575147912E1,1.002494568E3
2.579146881E1,1.002530212E3
2.583148355E1,1.002570496E3
2.587147922E1,1.002549988E3
2.591175183E1,1.002513367E3
2.595147917E1,1.002517029E3
2.599148001E1,1.002541199E3
2.603158745E1,1.002541687E3
2.607151058E1,1.002607849E3
2.611148063E1,1.002663513E3
2.615148157E1,1.002649109E3
2.619147974E1,1.002573914E3
2.623230797E1,1.002504822E3
2.627148417E1,1.002451599E3
2.631193464E1,1.002414734E3
2.635165193E1,1.002394958E3
2.639147917E1,1.002386902E3
2.643148021E1,1.002387878E3
2.647153120E1,1.002396423E3
2.651149766E1,1.002402283E3
2.655148084E1,1.002406433E3
2.659147922E1,1.002408875E3
2.663147917E1,1.002419373E3
2.667222303E1,1.002482849E3
2.671148938E1,1.002542175E3
2.675148615E1,1.002566833E3
2.679148136E1,1.002537781E3
2.683147928E1,1.002575134E3
2.687148001E1,1.002591003E3
2.691149323E1,1.002629333E3
2.695148870E1,1.002589783E3
2.699147922E1,1.002505554E3
2.703147891E1,1.002511169E3
2.707148235E1,1.002504822E3
2.711148818E1,1.002523621E3
2.715148250E1,1.002566345E3
2.719260292E1,1.002611511E3
2.723147948E1,1.002517517E3
2.727147891E1,1.002469177E3
2.731148167E1,1.002425964E3
2.735148318E1,1.002397644E3
2.739150876E1,1.002387634E3
2.743191344E1,1.002388123E3
2.747146735E1,1.002388855E3
2.751147969E1,1.002389587E3
2.755165188E1,1.002391296E3
2.759152948E1,1.002402283E3
2.763249849E1,1.002408875E3
2.767146657E1,1.002442322E3
2.771150954E1,1.002481628E3
2.775146792E1,1.002521423E3
2.779150303E1,1.002514099E3
2.783150683E1,1.002486511E3
2.787147922E1,1.002509705E3
2.791147922E1,1.002525330E3
2.795148261E1,1.002577576E3
2.799147198E1,1.002557556E3
2.803147318E1,1.002530457E3
2.807147198E1,1.002497253E3
2.811147224E1,1.002516785E3
2.815147318E1,1.002551453E3
2.819149839E1,1.002567322E3
2.823149573E1,1.002632507E3
2.827147917E1,1.002638855E3
2.831147917E1,1.002644958E3
2.835147896E1,1.002562195E3
2.839148240E1,1.002492615E3
2.843149844E1,1.002448181E3
2.847150547E1,1.002418640E3
2.851147922E1,1.002399597E3
2.855148495E1,1.002401794E3
2.859147917E1,1.002398132E3
2.863148235E1,1.002409607E3
2.867150626E1,1.002420593E3
2.871147922E1,1.002430603E3
2.875147922E1,1.002427185E3
2.879147922E1,1.002437927E3
2.883147922E1,1.002468933E3
2.887150631E1,1.002501160E3
2.891147928E1,1.002515808E3
2.895147922E1,1.002499451E3
2.899147558E1,1.002515076E3
2.903148146E1,1.002610046E3
2.907148204E1,1.002629089E3
2.911148079E1,1.002617859E3
2.915147891E1,1.002573669E3
2.919147917E1,1.002563904E3
2.923147922E1,1.002586365E3
2.927147917E1,1.002601746E3
2.931150667E1,1.002636169E3
2.935147922E1,1.002740906E3
2.939147922E1,1.002774841E3
2.943147917E1,1.002699890E3
2.947147974E1,1.002593445E3
2.951148438E1,1.002487488E3
2.955147912E1,1.002426453E3
2.959147865E1,1.002388123E3
2.963147896E1,1.002370056E3
2.967147917E1,1.002365173E3
2.971148126E1,1.002370544E3
2.975148693E1,1.002370056E3
2.979147912E1,1.002385193E3
2.983147917E1,1.002398621E3
2.987147948E1,1.002458679E3
2.991147943E1,1.002465515E3
2.995148933E1,1.002477722E3
2.999150782E1,1.002464783E3
3.003147917E1,1.002461609E3
3.007147917E1,1.002524353E3
3.011147948E1,1.002578552E3
3.015171745E1,1.002550476E3
3.019148599E1,1.002504333E3
3.023147917E1,1.002510925E3
3.027147928E1,1.002541199E3
3.031147865E1,1.002545837E3
3.035148079E1,1.002726257E3
3.039148120E1,1.002754578E3
3.043147922E1,1.002675964E3
3.047147922E1,1.002572937E3
3.051147917E1,1.002501404E3
3.055147922E1,1.002450378E3
3.059156855E1,1.002420105E3
3.063150605E1,1.002409119E3
3.067147922E1,1.002403503E3
3.071147917E1,1.002410583E3
3.075147912E1,1.002416199E3
3.079147943E1,1.002425720E3
3.083148547E1,1.002468933E3
3.087146558E1,1.002487976E3
3.091147922E1,1.002483582E3
3.095147928E1,1.002477966E3
3.099148188E1,1.002517761E3
3.103148849E1,1.002609314E3
3.107148141E1,1.002575623E3
3.111147896E1,1.002529724E3
3.115147928E1,1.002501648E3
3.119146714E1,1.002490906E3
3.123148693E1,1.002504089E3
3.127150912E1,1.002510437E3
3.131147917E1,1.002649353E3
3.135147948E1,1.002715027E3
3.139147917E1,1.002664978E3
3.143148120E1,1.002572693E3
3.147148261E1,1.002504333E3
3.151148141E1,1.002461853E3
3.155147917E1,1.002432556E3
3.159147922E1,1.002415710E3
3.163147922E1,1.002409119E3
3.167148126E1,1.002411560E3
3.171146657E1,1.002416687E3
3.175147891E1,1.002424500E3
3.179147943E1,1.002434509E3
3.183147891E1,1.002503845E3
3.187147948E1,1.002518250E3
3.191148126E1,1.002519470E3
3.195147917E1,1.002498230E3
