"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
1.484635940E0,9.742871299E-1,2.244911492E-1,-1.735496521E-2,-8.192535490E-3,2.604221390E1,2.597130648E1,-1.727106780E0,-1.361855982E0
1.501369794E0,9.744717309E-1,2.237867266E-1,-1.667675748E-2,-6.799449679E-3,2.594815983E1,2.588485125E1,-1.688109378E0,-1.187529257E0
1.518103649E0,9.747614489E-1,2.226970345E-1,-1.513668522E-2,-4.126659594E-3,2.579986926E1,2.574993625E1,-1.585652521E0,-8.475771034E-1
1.534837555E0,9.749644648E-1,2.219324857E-1,-1.362868026E-2,-2.126802923E-3,2.569545545E1,2.565509758E1,-1.468705790E0,-5.844132885E-1
1.551571409E0,9.748870016E-1,2.223228067E-1,-1.295568328E-2,2.324731613E-4,2.573534496E1,2.569705104E1,-1.453407314E0,-3.041919222E-1
1.568305263E0,9.745440234E-1,2.237774134E-1,-1.367971022E-2,6.937520229E-4,2.591123542E1,2.586814879E1,-1.545652409E0,-2.734149415E-1
1.585039169E0,9.743133616E-1,2.247752100E-1,-1.367872115E-2,1.571918954E-3,2.602886922E1,2.598424658E1,-1.567887177E0,-1.768922592E-1
1.601773024E0,9.742710245E-1,2.250032574E-1,-1.264460944E-2,3.101430368E-3,2.605040377E1,2.600811894E1,-1.491819313E0,2.023862223E-2
1.618506930E0,9.743428427E-1,2.247454971E-1,-1.106244326E-2,4.807150457E-3,2.601386346E1,2.597476104E1,-1.359068493E0,2.518955995E-1
1.635240784E0,9.745412601E-1,2.239341289E-1,-8.887439035E-3,6.622069515E-3,2.591264777E1,2.587684542E1,-1.162506091E0,5.115661939E-1
1.651974690E0,9.748173656E-1,2.227340341E-1,-7.025385275E-3,8.443803526E-3,2.577115206E1,2.573424324E1,-1.000342311E0,7.640492681E-1
1.668708544E0,9.749470890E-1,2.221131921E-1,-6.736123003E-3,9.926132858E-3,2.570440834E1,2.566001477E1,-1.005258879E0,9.376909489E-1
1.685442451E0,9.748075663E-1,2.226674110E-1,-7.237243932E-3,1.081920043E-2,2.577618696E1,2.572402676E1,-1.084559682E0,1.024129628E0
1.702176305E0,9.745091480E-1,2.239130437E-1,-8.212300949E-3,1.128837559E-2,2.592905496E1,2.586944420E1,-1.206804458E0,1.050154829E0
1.718910159E0,9.742202572E-1,2.250940949E-1,-9.460372850E-3,1.174905431E-2,2.607620324E1,2.600716549E1,-1.359312846E0,1.067976701E0
1.735644065E0,9.738646390E-1,2.265464813E-1,-1.077507064E-2,1.217598468E-2,2.625622666E1,2.617688211E1,-1.518732205E0,1.079518155E0
1.752377919E0,9.733599561E-1,2.286216915E-1,-1.201932039E-2,1.257195231E-2,2.650964873E1,2.642009027E1,-1.670218998E0,1.087904904E0
1.769111826E0,9.725859813E-1,2.317934334E-1,-1.351617649E-2,1.286958531E-2,2.689373674E1,2.679276164E1,-1.848536893E0,1.075929376E0
1.785845680E0,9.714509317E-1,2.363927960E-1,-1.519548148E-2,1.306256838E-2,2.744746703E1,2.733444642E1,-2.045843807E0,1.043224079E0
1.802579586E0,9.699245697E-1,2.424411178E-1,-1.727972552E-2,1.304011233E-2,2.817526883E1,2.804870233E1,-2.283438986E0,9.701018545E-1
1.819313440E0,9.679533611E-1,2.499905676E-1,-2.019389160E-2,1.277550776E-2,2.908878293E1,2.894325879E1,-2.606768761E0,8.394582990E-1
1.836047346E0,9.655097324E-1,2.589807212E-1,-2.387043275E-2,1.225337014E-2,3.018367535E1,3.001323884E1,-3.006029338E0,6.482066557E-1
1.852781201E0,9.627063147E-1,2.688616216E-1,-2.779764310E-2,1.171627827E-2,3.139383018E1,3.119456063E1,-3.429598535E0,4.368780825E-1
1.869515107E0,9.597766097E-1,2.787910998E-1,-3.138457239E-2,1.092660613E-2,3.261170844E1,3.238789361E1,-3.803614015E0,1.995268703E-1
1.886248961E0,9.564188681E-1,2.897076011E-1,-3.515766561E-2,9.818006307E-3,3.395524656E1,3.370737200E1,-4.182846431E0,-9.137999803E-2
