"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.593809803E1,2.277967215E0,9.937392235E0,7.951349735E0
5.595476470E1,-1.452204037E1,1.767578125E1,9.734002113E0
5.597143136E1,-6.960721016E0,2.833819771E1,2.979782104E1
5.598809803E1,-7.389036179E0,1.969053841E1,-2.175793648E1
5.600476469E1,-1.976471543E0,9.054440498E0,2.287538528E0
5.602143136E1,-1.976471543E0,9.054440498E0,2.287538528E0
5.603809803E1,-1.445264935E0,7.936992645E0,3.316452265E0
5.605476469E1,-1.050449133E0,2.081037903E1,-4.888536453E0
5.607143136E1,7.178468257E-2,1.818066597E1,9.559326172E0
5.608809802E1,7.178468257E-2,1.818066597E1,9.559326172E0
5.610476469E1,-9.044869542E-1,8.109275818E0,-1.639083505E0
5.612143136E1,-1.971685886E0,6.831508636E0,4.809573591E-1
5.613809802E1,-1.605584025E0,7.066005230E0,-3.467200041E0
5.615476469E1,-3.900300860E-1,8.769695282E0,-4.630111694E0
5.617143135E1,4.139583111E-1,9.702896118E0,-4.012763500E0
5.618809802E1,1.914258115E-2,1.017188931E1,4.096512318E0
5.620476468E1,-1.103091240E0,8.891729355E0,6.386443615E0
5.622143135E1,-1.103091240E0,8.891729355E0,6.386443615E0
5.623809802E1,-2.538784742E0,6.989434719E0,-3.134597540E-1
5.625476468E1,-1.792224169E0,6.915257454E0,5.230710506E0
5.627143135E1,-1.792224169E0,6.915257454E0,5.230710506E0
5.628809802E1,7.417750359E-2,1.298584843E1,3.634697676E0
5.630476468E1,-2.292324066E0,1.626880074E1,4.570291340E-1
5.632143135E1,-5.862415433E-1,2.231785774E1,4.843072891E0
5.633809801E1,-1.741974831E0,1.495035553E1,4.484149456E0
5.635476468E1,-1.708475351E0,1.056909752E1,3.158525825E-1
5.637143135E1,1.459621787E-1,1.004985523E1,6.891329288E-1
5.638809801E1,9.044869542E-1,7.159325123E0,-3.141776085E0
5.640476468E1,-8.614161611E-1,7.482356548E0,-3.182454109E0
5.642143134E1,-2.440679073E-1,1.577827263E1,4.012763500E0
5.643809801E1,1.962114573E-1,2.119083786E1,5.977271080E0
5.645476468E1,1.682154298E0,1.569930935E1,3.227917671E0
5.647143134E1,9.595218897E-1,5.699703693E0,2.045863390E0
5.648809801E1,2.983849764E0,3.701696634E0,4.689932466E-1
5.650476467E1,1.363908887E0,4.675575256E0,1.883151412E0
5.652143134E1,-7.417750359E-1,7.384250641E0,2.012363911E0
5.653809800E1,-1.028913736E0,9.255437851E0,2.687139750E0
5.655476467E1,-1.651047587E0,1.005942631E1,2.074577332E0
5.657143134E1,-3.546163082E0,1.126062298E1,6.101697683E-1
5.658809800E1,-3.866801500E0,9.623932838E0,1.261017561E0
5.660476467E1,-1.191625714E0,9.621540070E0,3.038884699E-1
5.662143134E1,-3.613162339E-1,9.602396965E0,3.852444589E-1
5.663809800E1,7.944171429E-1,9.142974854E0,7.872386575E-1
5.665476467E1,7.944171429E-1,9.142974854E0,7.872386575E-1
5.667143133E1,-1.555334777E-1,8.056633949E0,1.483550072E0
5.668809800E1,-4.666004181E-1,8.556734085E0,2.263610125E0
5.670476467E1,-5.503492355E-1,1.063131142E1,3.450450182E0
5.672143133E1,9.858429432E-1,1.156690502E1,1.402194023E0
5.673809800E1,1.122233868E0,9.439684868E0,2.177468538E-1
5.675476466E1,8.087740541E-1,8.784051895E0,8.542376757E-1
5.677143133E1,1.203589797E0,9.233902931E0,1.483550072E-1
5.678809800E1,8.805587292E-1,9.619147301E0,1.244267821E0
5.680476466E1,8.805587292E-1,9.619147301E0,1.244267821E0
5.682143133E1,9.882357717E-1,1.110269737E1,4.833501875E-1
5.683809799E1,5.288137794E-1,1.055713367E1,-3.278166950E-1
5.685476466E1,4.666004181E-1,9.556933403E0,-3.134597540E-1
5.687143132E1,4.666004181E-1,9.556933403E0,-3.134597540E-1
5.688809799E1,1.076770186E0,9.712467194E0,-2.440679073E-1
5.690476466E1,8.853443861E-1,9.573683739E0,-1.627119333E-1
5.692143132E1,5.192425251E-1,9.272188187E0,4.163511395E-1
5.693809799E1,5.192425251E-1,9.272188187E0,4.163511395E-1
5.695476466E1,1.205982566E0,9.535398483E0,2.129612118E-1
5.697143132E1,1.100698471E0,9.145368576E0,-2.584248483E-1
5.698809799E1,1.100698471E0,9.145368576E0,-2.584248483E-1
5.700476465E1,1.311266780E0,9.403793335E0,2.703889608E-1
5.702143132E1,1.342373490E0,9.571290970E0,6.388836503E-1
5.703809798E1,1.890329838E0,9.887143135E0,4.091726840E-1
5.705476465E1,1.526620865E0,9.418149948E0,-4.426721931E-1
5.707143132E1,1.452443361E0,9.102297783E0,-5.479564071E-1
5.708809798E1,1.603191137E0,9.140582085E0,-2.823530734E-1
5.710476465E1,1.897508383E0,9.427721024E0,1.914258115E-2
5.712143132E1,1.794616938E0,9.702896118E0,-9.571290761E-2
5.713809798E1,1.605584025E0,9.779465675E0,9.571290761E-2
5.715476465E1,1.533799291E0,9.896714211E0,1.770688742E-1
5.717143131E1,1.799402595E0,9.717252731E0,-1.483550072E-1
5.718809798E1,1.885544300E0,9.686145782E0,-3.038884699E-1
5.720476465E1,2.088934183E0,9.906285286E0,-2.871387303E-1
5.722143131E1,2.380858421E0,9.461220741E0,4.307080805E-1
5.723809798E1,2.380858421E0,9.461220741E0,4.307080805E-1
5.725476464E1,1.610369682E0,9.171689034E0,-1.914258152E-1
5.727143131E1,1.567298889E0,9.396614075E0,-5.575276613E-1
5.728809798E1,1.502692580E0,9.590433121E0,-6.891329288E-1
5.730476464E1,1.555334687E0,9.334401131E0,-2.488535494E-1
5.732143131E1,1.378265858E0,8.870193481E0,9.092725813E-2
5.733809797E1,1.158126116E0,8.930013657E0,-6.939185411E-2
5.735476464E1,6.580262184E-1,9.585647583E0,-5.048855543E-1
5.737143130E1,6.963114142E-1,1.048295593E1,-5.718846321E-1
5.738809797E1,1.361516118E0,1.025563812E1,-1.627119333E-1
5.740476464E1,1.737189293E0,9.688538551E0,1.914258152E-1
5.742143130E1,1.395015597E0,9.056833267E0,5.000999570E-1
5.743809797E1,1.110269666E0,8.695517540E0,-7.752745152E-1
5.745476464E1,1.110269666E0,8.695517540E0,-7.752745152E-1
5.747143130E1,9.284151793E-1,9.001798630E0,-8.997012973E-1
5.748809797E1,9.284151793E-1,9.001798630E0,-8.997012973E-1
5.750476463E1,1.093519926E0,1.040159988E1,-4.402793646E-1
5.752143130E1,1.093519926E0,1.040159988E1,-4.402793646E-1
5.753809797E1,4.283152521E-1,9.841679573E0,-3.708875179E-1
5.755476463E1,-1.459621787E-1,9.047262192E0,-6.101697683E-1
5.757143130E1,-5.551348329E-1,9.028120041E0,-3.014956415E-1
5.758809796E1,-5.551348329E-1,9.028120041E0,-3.014956415E-1
5.760476463E1,-1.868794441E0,9.652647018E0,-2.500499725E0
5.762143130E1,-1.234696507E0,1.052124119E1,-1.842473388E0
5.763809796E1,-1.234696507E0,1.052124119E1,-1.842473388E0
5.765476463E1,-1.586441398E0,1.086820030E1,-5.977271080E0
5.767143129E1,-2.842673302E0,1.046620655E1,-7.611568928E0
5.768809796E1,-1.902294040E0,1.037767220E1,3.732803464E-1
5.770476462E1,-1.902294040E0,1.037767220E1,3.732803464E-1
5.772143129E1,-3.828516304E-1,1.165783215E1,-3.455235958E0
5.773809796E1,8.398807645E-1,9.939785004E0,-1.919043779E0
5.775476462E1,1.804188251E0,9.332008362E0,-2.620140791E0
5.777143129E1,2.134397745E0,9.049654961E0,-3.656233072E0
5.778809796E1,1.981257200E0,9.422935486E0,-2.464607239E0
5.780476462E1,7.561319470E-1,9.214759827E0,-1.686939955E0
5.782143129E1,7.561319470E-1,9.214759827E0,-1.686939955E0
5.783809795E1,1.081555843E0,8.489734650E0,-9.260223508E-1
5.785476462E1,9.260223508E-1,8.638090134E0,-5.766702294E-1
5.787143129E1,-6.699903309E-2,8.736195564E0,-1.103091240E0
5.788809795E1,-6.699903309E-2,8.736195564E0,-1.103091240E0
5.790476462E1,1.016949654E0,9.868000984E0,-1.426122308E0
5.792143128E1,2.512463629E-1,9.877572060E0,-1.062413216E0
5.793809795E1,-3.972085714E-1,9.497113228E0,-7.920243144E-1
5.795476462E1,-2.392822690E-2,9.623932838E0,-1.091127157E0
5.797143128E1,-9.906286001E-1,9.999606133E0,-1.301695466E0
5.798809795E1,-7.489534616E-1,9.757930756E0,-1.849651933E0
5.800476461E1,-4.354937077E-1,9.568898201E0,-6.125625968E-1
5.802143128E1,-1.564906001E0,1.032981491E1,-2.182254314E0
5.803809795E1,-1.062413216E0,1.019581699E1,-2.086541414E0
5.805476461E1,1.076770201E-1,1.019342422E1,-1.569691658E0
5.807143128E1,2.191825628E0,9.499505997E0,-8.207381964E-1
5.808809794E1,3.278167009E0,8.973084450E0,-3.469592929E-1
5.810476461E1,3.031706333E0,8.697910309E0,-8.159525394E-1
5.812143128E1,3.402593851E0,9.760323524E0,-5.335994363E-1
5.813809794E1,1.421336651E0,1.213878918E1,-1.820937991E0
5.815476461E1,5.431707501E-1,1.180379391E1,3.182454109E-1
5.817143127E1,3.493520916E-1,1.088016415E1,1.282552958E0
5.818809794E1,1.962114573E-1,1.055234814E1,1.615155339E0
5.820476460E1,3.062812984E-1,9.966106415E0,4.402793646E-1
5.822143127E1,3.062812984E-1,9.966106415E0,4.402793646E-1
5.823809794E1,1.459621787E0,1.452921867E1,2.931207657E0
5.825476460E1,-5.694918036E-1,1.306241894E1,3.450450182E0
5.827143127E1,-2.421536446E0,1.146640587E1,3.933800459E0
5.828809794E1,-2.421536446E0,1.146640587E1,3.933800459E0
5.830476460E1,-2.699103832E0,1.015753174E1,4.007977962E0
5.832143127E1,-1.950150490E0,9.908679008E0,1.172483087E0
5.833809793E1,-1.423729420E0,1.041595650E1,-2.368894339E0
5.835476460E1,-1.117448211E0,1.101894855E1,-3.732803345E0
5.837143127E1,-8.087740541E-1,1.127498055E1,-3.337987661E0
5.838809793E1,3.565305769E-1,1.172483063E1,-1.198804140E0
5.840476460E1,3.565305769E-1,1.172483063E1,-1.198804140E0
5.842143126E1,3.005385160E0,1.050449181E1,6.149554253E-1
5.843809793E1,3.471985579E0,9.765109062E0,5.288137794E-1
5.845476460E1,4.127619267E0,8.286344528E0,5.288137794E-1
5.847143126E1,4.127619267E0,8.286344528E0,5.288137794E-1
5.848809793E1,2.775674343E0,5.962913990E0,1.536192179E0
5.850476459E1,1.785045743E0,5.570491314E0,7.345965505E-1
5.852143126E1,7.872386575E-1,5.558526993E0,-4.809573591E-1
5.853809792E1,-1.268195957E-1,5.735595703E0,-4.522434771E-1
5.855476459E1,1.076770201E-1,7.034898758E0,4.642075896E-1
5.857143126E1,6.053841114E-1,7.575676441E0,6.604190469E-1
5.858809792E1,1.550549030E0,8.580661774E0,-1.674975902E-1
5.860476459E1,2.273181438E0,9.537791252E0,-5.359922647E-1
5.862143126E1,2.273181438E0,9.537791252E0,-5.359922647E-1
5.863809792E1,2.342573404E0,9.221938133E0,1.399801254E0
5.865476459E1,2.251646042E0,8.860622406E0,2.055434704E0
5.867143125E1,3.476771355E0,8.341380119E0,3.601198196E0
5.868809792E1,3.809373617E0,9.327222824E0,2.584248483E-1
5.870476459E1,3.529413462E0,9.616754532E0,-1.028913707E-1
