"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.683233674E1,-2.913824916E-1,-7.993929386E-1,6.241511106E-1
5.684900341E1,-2.913824916E-1,-7.993929386E-1,6.241511106E-1
5.686567008E1,-2.339612097E-1,-1.000978351E0,5.465712547E-1
5.688233674E1,-2.339612097E-1,-1.000978351E0,5.465712547E-1
5.689900341E1,-2.339612097E-1,-1.000978351E0,5.465712547E-1
5.691567007E1,-1.374445707E-1,-9.221767187E-1,2.393062711E-1
5.693233674E1,5.681042373E-2,-9.276745319E-1,2.136499584E-1
5.694900341E1,2.590066791E-1,-8.226057887E-1,1.495091617E-1
5.696567007E1,2.590066791E-1,-8.226057887E-1,1.495091617E-1
5.698233674E1,2.651153207E-1,-5.116755962E-1,-1.424842030E-1
5.699900340E1,2.651153207E-1,-5.116755962E-1,-1.424842030E-1
5.701567007E1,3.072649837E-1,-4.426479042E-1,-3.385718167E-1
5.703233674E1,3.072649837E-1,-4.426479042E-1,-3.385718167E-1
5.704900340E1,5.467239618E-1,-4.041634202E-1,-4.204276800E-1
5.706567007E1,4.605920315E-1,-3.296379149E-1,-3.984365463E-1
5.708233673E1,2.919933498E-1,-3.119228184E-1,-2.768744528E-1
5.709900340E1,2.919933498E-1,-3.119228184E-1,-2.768744528E-1
5.711567007E1,2.871064544E-1,-4.438696206E-1,-1.944077164E-1
5.713233673E1,3.231474757E-1,-5.782598853E-1,-2.023489624E-1
5.714900340E1,3.231474757E-1,-5.782598853E-1,-2.023489624E-1
5.716567006E1,3.616319597E-1,-5.868119597E-1,-7.895427197E-2
5.718233673E1,3.335321844E-1,-6.228529811E-1,-8.872810751E-2
5.719900340E1,1.783725172E-1,-6.387354732E-1,-1.076649204E-1
5.721567006E1,1.783725172E-1,-6.387354732E-1,-1.076649204E-1
5.723233673E1,1.783725172E-1,-6.387354732E-1,-1.076649204E-1
5.724900339E1,9.834922850E-2,-2.868773639E-1,-1.192713454E-1
5.726567006E1,9.651663154E-2,-1.683696061E-1,-1.374445739E-3
5.728233673E1,9.651663154E-2,-1.683696061E-1,-1.374445739E-3
5.729900339E1,-2.687804960E-2,-4.707476795E-1,1.366809905E-1
5.731567006E1,-2.687804960E-2,-4.707476795E-1,1.366809905E-1
5.733233672E1,4.092793912E-2,-5.513818264E-1,8.842267841E-2
5.734900339E1,4.092793912E-2,-5.513818264E-1,8.842267841E-2
5.736567006E1,8.796452731E-2,-7.859538794E-1,2.380845547E-1
5.738233672E1,8.246674389E-2,-8.977421522E-1,2.698495090E-1
5.739900339E1,1.050687432E-1,-1.085888505E0,1.776089370E-1
5.741567005E1,1.050687432E-1,-1.085888505E0,1.776089370E-1
5.743233672E1,4.214967042E-2,-7.609084249E-1,-1.101083755E-1
5.744900339E1,-9.590577334E-2,-6.613374949E-1,-1.039997265E-1
5.746567005E1,-9.590577334E-2,-6.613374949E-1,-1.039997265E-1
5.748233672E1,-4.422661066E-1,-7.523563504E-1,-5.574141070E-2
5.748233672E1,-4.422661066E-1,-7.523563504E-1,-5.574141070E-2
5.751567005E1,-4.361574650E-1,-6.350703239E-1,-8.445205539E-2
5.753233672E1,-4.050033391E-1,-2.642753720E-1,-1.143844277E-1
5.754900338E1,-2.926042378E-1,-1.076649129E-2,-3.619373962E-2
5.756567005E1,-1.918115467E-1,-9.078978002E-2,3.161225095E-2
5.758233671E1,1.423314959E-1,-4.603629708E-1,4.993819445E-2
5.759900338E1,7.849612236E-1,-2.196822464E-1,6.093376130E-2
5.761567005E1,7.849612236E-1,-2.196822464E-1,6.093376130E-2
5.763233671E1,1.231503367E0,-1.868406296E0,1.189659163E-1
5.764900338E1,1.231503367E0,-1.868406296E0,1.189659163E-1
5.766567004E1,4.660898149E-1,8.096249104E-1,-5.146535859E-2
5.768233671E1,4.660898149E-1,8.096249104E-1,-5.146535859E-2
5.769900338E1,-4.398226440E-1,-2.495764494E0,7.925970852E-2
5.771567004E1,-6.658425927E-2,-1.845804334E0,-3.497200832E-2
5.773233671E1,-8.613193035E-2,-2.270355225E0,-1.247691289E-1
5.774900337E1,-8.613193035E-2,-2.270355225E0,-1.247691289E-1
