"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.236501776E0,1.151798586E-1,-6.946710348E-1,4.509932399E-1,5.484257936E-1,1.667720018E2,1.380199820E2,5.997895607E1,-9.095415759E1
2.253167765E0,1.216514237E-1,-6.896239519E-1,4.479430020E-1,5.558478236E-1,1.660251589E2,1.368692622E2,6.112054362E1,-9.228303175E1
2.269833755E0,1.285419594E-1,-6.861653328E-1,4.462443292E-1,5.599286556E-1,1.652293083E2,1.364325095E2,6.202220929E1,-9.309244697E1
2.286499745E0,1.319960374E-1,-6.828318238E-1,4.465579689E-1,5.629420280E-1,1.648300981E2,1.357742575E2,6.245863351E1,-9.404731167E1
2.303165734E0,1.276179874E-1,-6.788552403E-1,4.494182169E-1,5.664737225E-1,1.653360670E2,1.341117519E2,6.210604653E1,-9.561053095E1
2.319831724E0,1.141409893E-1,-6.745291948E-1,4.598335028E-1,5.661584139E-1,1.668918378E2,1.322321250E2,6.031398936E1,-9.742086249E1
2.336497713E0,9.734834577E-2,-6.743592024E-1,4.678263068E-1,5.629400611E-1,1.688270065E2,1.312883756E2,5.824778216E1,-9.781165326E1
2.353163703E0,7.725121154E-2,-6.732189655E-1,4.690003991E-1,5.664336681E-1,1.711388347E2,1.290282156E2,5.662932235E1,-9.853305933E1
2.369829692E0,5.886596238E-2,-6.710730195E-1,4.671155810E-1,5.727118254E-1,1.732505557E2,1.264692328E2,5.545259977E1,-9.937659346E1
2.386495682E0,4.310101219E-2,-6.707866192E-1,4.642637372E-1,5.767554045E-1,1.750594573E2,1.247169297E2,5.446691790E1,-9.954538654E1
2.403161672E0,2.904442546E-2,-6.730828285E-1,4.580695033E-1,5.799036622E-1,1.766712859E2,1.234978648E2,5.382861017E1,-9.899054672E1
2.419827661E0,1.758380495E-2,-6.763228178E-1,4.503837228E-1,5.826085806E-1,1.779849405E2,1.226086612E2,5.350433599E1,-9.817335696E1
2.436493651E0,9.132871911E-3,-6.808521152E-1,4.441804290E-1,5.822892189E-1,1.789534354E2,1.225071766E2,5.322751811E1,-9.697668792E1
2.453159640E0,6.093544592E-4,-6.886609793E-1,4.364039004E-1,5.790486336E-1,1.799301731E2,1.231387776E2,5.294602751E1,-9.490209419E1
2.469825630E0,5.768904579E-3,6.982849240E-1,-4.283991456E-1,-5.734449029E-1,1.793389286E2,1.244250234E2,5.274158297E1,-9.234106404E1
2.486491620E0,1.060466001E-2,7.091754675E-1,-4.193056226E-1,-5.666925907E-1,1.787847727E2,1.260983792E2,5.264352421E1,-8.942543836E1
2.503157609E0,1.227693327E-2,7.190611959E-1,-4.112254083E-1,-5.600838661E-1,1.785931317E2,1.278975008E2,5.269040378E1,-8.674652250E1
2.519823599E0,5.924276225E-3,7.266001701E-1,-4.070866108E-1,-5.534415841E-1,1.793211240E2,1.301471916E2,5.307647938E1,-8.465456621E1
2.536489588E0,6.600646305E-3,-7.313382626E-1,4.045526385E-1,5.490336418E-1,1.792436162E2,1.324157241E2,5.393982611E1,-8.319002327E1
2.553155578E0,1.797171466E-2,-7.351385355E-1,4.033452868E-1,5.445740819E-1,1.779404823E2,1.345350469E2,5.460441187E1,-8.191091956E1
2.569821567E0,1.930054179E-2,-7.392708659E-1,3.979346454E-1,5.429126024E-1,1.777881835E2,1.354364904E2,5.489301861E1,-8.061431088E1
2.586487557E0,1.995114670E-2,-7.432485819E-1,3.876126707E-1,5.449219346E-1,1.777136153E2,1.359004654E2,5.563835811E1,-7.921319908E1
2.603153547E0,1.839126372E-2,-7.487935424E-1,3.711544871E-1,5.488299727E-1,1.778923976E2,1.362564234E2,5.667551662E1,-7.716302280E1
2.619819536E0,1.713725285E-2,-7.525411248E-1,3.542967141E-1,5.548531413E-1,1.780361193E2,1.362445169E2,5.791305272E1,-7.547544369E1
2.636485526E0,1.788034142E-2,-7.538524866E-1,3.373898566E-1,5.635200143E-1,1.779509546E2,1.358748764E2,5.950655492E1,-7.431018917E1
2.653151515E0,1.801565457E-2,-7.561403513E-1,3.201510906E-1,5.704651475E-1,1.779354464E2,1.358732919E2,6.095502692E1,-7.272826892E1
2.669817505E0,1.703089345E-2,-7.604389191E-1,3.056640625E-1,5.727233887E-1,1.780483090E2,1.366452375E2,6.181823155E1,-7.056848935E1
2.686483495E0,1.545176813E-2,-7.645976543E-1,2.944167852E-1,5.731233954E-1,1.782292873E2,1.375066105E2,6.231510317E1,-6.857724902E1
2.703149484E0,1.558160163E-2,-7.654859424E-1,2.877896428E-1,5.752961040E-1,1.782144077E2,1.376910472E2,6.283941467E1,-6.780759025E1
2.719815474E0,1.679210358E-2,-7.638834715E-1,2.818277776E-1,5.803216100E-1,1.780756762E2,1.372312601E2,6.364505613E1,-6.781885229E1
2.736481463E0,1.686992685E-2,-7.583274841E-1,2.771305442E-1,5.897910595E-1,1.780667571E2,1.352283583E2,6.467016378E1,-6.937676130E1
2.753147453E0,1.581468811E-2,-7.506836653E-1,2.745561004E-1,6.007019877E-1,1.781876947E2,1.322257948E2,6.558262962E1,-7.202760913E1
2.769813442E0,1.719830210E-2,-7.443618774E-1,2.742919326E-1,6.085996628E-1,1.780291226E2,1.299952840E2,6.627277331E1,-7.432132835E1
2.786479432E0,2.163049058E-2,-7.411491275E-1,2.793993056E-1,6.100541949E-1,1.775211350E2,1.295163892E2,6.640094845E1,-7.560283240E1
2.803145422E0,2.785470426E-2,-7.421764135E-1,2.895627618E-1,6.037811637E-1,1.768076731E2,1.311401966E2,6.583294176E1,-7.539904593E1
